Year	Model	Data	Forcing
1856	0.002201545	0.241	0.002201545
1856.083333	0	0.174	0
1856.166667	0	0.246	0
1856.25	0	0.165	0
1856.333333	0.002200973	0.217	-4.236206001
1856.416667	0.004401946	0.24	-4.234003436
1856.5	0.006602919	0.253	-4.231800871
1856.583333	0.008803892	0.23	-4.229598305
1856.666667	0.011004864	0.297	-4.227395741
1856.75	0.013205837	0.147	-4.225193176
1856.833333	-3.08479139	0.157	-4.222990611
1856.916667	-3.08258894	0.252	-4.220788047
1857	-3.080386491	0.237	-4.218585483
1857.083333	-3.078184042	-0.037	-4.21638292
1857.166667	-3.075981593	-0.052	-4.214180356
1857.25	-3.073779144	0.03	-4.211977793
1857.333333	-3.071576696	-0.01	-8.214111272
1857.416667	-3.069374248	0.122	-8.211908283
1857.5	-3.0671718	0.154	-8.209705294
1857.583333	-3.064969352	0.02	-8.207502305
1857.666667	-3.062766905	0.042	-8.205299316
1857.75	-3.060564457	-0.112	-8.203096328
1857.833333	-1.889566399	-0.146	-8.200893339
1857.916667	-1.887364078	-0.261	-8.198690351
1858	-1.885161757	-0.198	-8.196487364
1858.083333	-1.882959437	-0.291	-8.194284376
1858.166667	-1.880757117	-0.048	-8.192081389
1858.25	-1.878554797	0.234	-8.189878402
1858.333333	-1.876352477	0.111	-6.181699037
1858.416667	-1.874150158	-0.017	-6.179496264
1858.5	-1.871947839	-0.139	-6.177293492
1858.583333	-1.86974552	-0.049	-6.175090719
1858.666667	-1.867543201	0.093	-6.172887947
1858.75	-1.865340882	0.17	-6.170685175
1858.833333	2.890316321	0.297	-6.168482403
1858.916667	2.892516983	0.144	-6.166279632
1859	2.894717645	-0.111	-6.164076861
1859.083333	2.896918306	-0.099	-6.16187409
1859.166667	2.899118968	0.081	-6.159671319
1859.25	2.901319629	0.171	-6.157468548
1859.333333	2.90352029	0.108	-4.099313701
1859.416667	2.90572095	-0.08	-4.09711115
1859.5	2.907921611	-0.159	-4.094908599
1859.583333	2.910122271	0.084	-4.092706049
1859.666667	2.912322931	0.102	-4.090503498
1859.75	2.91452359	0.149	-4.088300948
1859.833333	4.41328064	0.081	-4.086098398
1859.916667	4.415481138	0.103	-4.083895849
1860	4.417681636	0.137	-4.081693299
1860.083333	4.419882133	-0.091	-4.07949075
1860.166667	4.422082631	0.082	-4.077288201
1860.25	4.424283128	-0.048	-4.075085653
1860.333333	4.426483625	0.19	-7.882423079
1860.416667	4.428684121	0.324	-7.880220125
1860.5	4.430884618	0.25	-7.878017171
1860.583333	4.433085114	0.06	-7.875814218
1860.666667	4.43528561	0.016	-7.873611264
1860.75	4.437486105	0.131	-7.871408311
1860.833333	1.66313318	0.013	-7.869205358
1860.916667	1.665333974	0.162	-7.867002406
1861	1.667534768	0.021	-7.864799453
1861.083333	1.669735562	-0.089	-7.862596501
1861.166667	1.671936355	0.014	-7.860393549
1861.25	1.674137148	0.268	-7.858190597
1861.333333	1.676337941	0.215	-11.51409151
1861.416667	1.678538734	0.312	-11.51188817
1861.5	1.680739527	0.434	-11.50968483
1861.583333	1.682940319	0.323	-11.50748149
1861.666667	1.685141111	0.28	-11.50527815
1861.75	1.687341903	0.234	-11.50307481
