Year	Model	Data	Forcing
1866.000000000	0.777700587	1.000000E+00	1.978370E-01
1866.083333000	0.450600678	6.000000E-01	0.000000E+00
1866.166667000	0.283161922	3.666667E-01	0.000000E+00
1866.250000000	0.104205986	3.333333E-01	-1.406002E-02
1866.333333000	0.081418679	3.000000E-01	-9.015590E-03
1866.416667000	0.140810070	3.000000E-01	-3.971163E-03
1866.500000000	0.178255119	5.000000E-01	1.073260E-03
1866.583333000	0.143279564	2.000000E-01	-2.539287E-01
1866.666667000	0.097271103	1.000000E-01	-2.488841E-01
1866.750000000	0.078667313	-3.333333E-02	-2.438395E-01
1866.833333000	0.103961829	1.666667E-01	-2.387949E-01
1866.916667000	0.171098318	5.666667E-01	-2.337503E-01
1867.000000000	0.220023678	5.666667E-01	-2.287057E-01
1867.083333000	0.178168109	8.333333E-01	-3.156716E-01
1867.166667000	0.175903523	5.333333E-01	-3.106269E-01
1867.250000000	0.201778860	4.666667E-01	-3.055822E-01
1867.333333000	0.232756309	6.666667E-02	-3.005376E-01
1867.416667000	0.264867296	-3.333333E-02	-2.954929E-01
1867.500000000	0.293544574	-3.333333E-02	-2.904482E-01
1867.583333000	0.320983355	-2.666667E-01	-5.748388E-01
1867.666667000	0.302966594	-6.000000E-01	-5.697939E-01
1867.750000000	0.279748689	6.666667E-02	-5.647490E-01
1867.833333000	0.284019899	4.666667E-01	-5.597042E-01
1867.916667000	0.329785066	7.333333E-01	-5.546593E-01
1868.000000000	0.445570939	3.000000E-01	-5.496144E-01
1868.083333000	0.628591344	4.333333E-01	-4.201743E-01
1868.166667000	0.705665475	7.666667E-01	-4.151296E-01
1868.250000000	0.702634495	1.100000E+00	-4.100848E-01
1868.333333000	0.668788084	1.233333E+00	-4.050401E-01
1868.416667000	0.619630865	1.166667E+00	-3.999953E-01
1868.500000000	0.521057367	9.666667E-01	-3.949506E-01
1868.583333000	0.333684804	7.000000E-01	-3.568698E-01
1868.666667000	0.222228258	7.333333E-01	-3.518251E-01
1868.750000000	0.156856137	1.033333E+00	-3.467804E-01
1868.833333000	0.108048138	9.666667E-01	-3.417357E-01
1868.916667000	0.086278393	1.233333E+00	-3.366910E-01
1869.000000000	0.098189140	9.666667E-01	-3.316463E-01
1869.083333000	0.103935597	1.600000E+00	1.040089E-01
1869.166667000	0.074924584	2.333333E-01	9.896371E-02
1869.250000000	0.007240855	-6.333333E-01	9.391850E-02
1869.333333000	-0.083168808	-1.833333E+00	8.887330E-02
1869.416667000	-0.163353587	-1.066667E+00	8.382810E-02
1869.500000000	-0.141951404	-9.666667E-01	7.878291E-02
1869.583333000	0.047226924	-6.666667E-01	1.411185E-01
1869.666667000	0.115421127	-1.066667E+00	1.360733E-01
1869.750000000	0.124286709	-9.333333E-01	1.310280E-01
1869.833333000	0.149317166	-1.200000E+00	1.259828E-01
1869.916667000	0.197408809	-1.466667E+00	1.209376E-01
1870.000000000	0.270638984	-1.566667E+00	1.158923E-01
1870.083333000	0.359280833	-6.666667E-01	4.874566E-03
1870.166667000	0.363262969	3.000000E-01	-1.705659E-04
