Year	Model	Data	Forcing
1870.000000000	-0.133163527	-4.800000E-01	-7.216311E-02
1870.083333000	-0.234501609	-8.833333E-01	0.000000E+00
1870.166667000	-0.203117835	-1.056667E+00	0.000000E+00
1870.250000000	0.024951231	-1.030000E+00	-1.343066E-02
1870.333333000	0.297566917	-1.063333E+00	-8.403355E-03
1870.416667000	0.433580730	-1.056667E+00	-3.376058E-03
1870.500000000	0.053633517	-9.833333E-01	1.651233E-03
1870.583333000	-0.932108514	-7.600000E-01	-6.350605E-01
1870.666667000	-1.293761368	-6.033333E-01	-6.300325E-01
1870.750000000	-1.227623104	-5.233333E-01	-6.250045E-01
1870.833333000	-1.045218326	-6.000000E-01	-6.199766E-01
1870.916667000	-0.865402583	-6.133333E-01	-6.149486E-01
1871.000000000	-0.817749756	-5.433333E-01	-6.099206E-01
1871.083333000	-0.889618288	-4.666667E-01	-9.567891E-01
1871.166667000	-0.795212028	-4.166667E-01	-9.517608E-01
1871.250000000	-0.620770190	-5.133333E-01	-9.467325E-01
1871.333333000	-0.471377925	-6.033333E-01	-9.417041E-01
1871.416667000	-0.388904338	-7.600000E-01	-9.366758E-01
1871.500000000	-0.358794364	-7.100000E-01	-9.316475E-01
1871.583333000	-0.285954367	-6.233333E-01	-1.233302E+00
1871.666667000	-0.313040227	-4.766667E-01	-1.228274E+00
1871.750000000	-0.409596843	-4.666667E-01	-1.223245E+00
1871.833333000	-0.504707114	-5.566667E-01	-1.218216E+00
1871.916667000	-0.535513769	-6.666667E-01	-1.213188E+00
1872.000000000	-0.485481601	-6.633333E-01	-1.208159E+00
1872.083333000	-0.481652064	-5.533333E-01	-8.216565E-01
1872.166667000	-0.457989854	-5.266667E-01	-8.166283E-01
1872.250000000	-0.409265501	-5.600000E-01	-8.116001E-01
1872.333333000	-0.322689031	-6.933333E-01	-8.065719E-01
1872.416667000	-0.163644609	-7.166667E-01	-8.015437E-01
1872.500000000	0.021670847	-8.900000E-01	-7.965156E-01
1872.583333000	-0.002322846	-1.010000E+00	-4.784249E-01
1872.666667000	-0.183688738	-1.060000E+00	-4.733971E-01
1872.750000000	-0.341383092	-9.300000E-01	-4.683692E-01
1872.833333000	-0.393693899	-8.233333E-01	-4.633414E-01
1872.916667000	-0.308795507	-7.800000E-01	-4.583136E-01
1873.000000000	-0.173527136	-8.200000E-01	-4.532859E-01
1873.083333000	-0.350634935	-9.066667E-01	3.221320E-01
1873.166667000	-0.652742174	-8.900000E-01	3.171038E-01
1873.250000000	-0.969678930	-7.833333E-01	3.120757E-01
1873.333333000	-1.251334368	-6.733333E-01	3.070475E-01
1873.416667000	-1.419903812	-6.700000E-01	3.020193E-01
1873.500000000	-1.332648420	-6.966667E-01	2.969912E-01
1873.583333000	-0.954624528	-6.500000E-01	3.956450E-01
1873.666667000	-0.745652293	-6.766667E-01	3.906168E-01
1873.750000000	-0.593321256	-7.033333E-01	3.855885E-01
1873.833333000	-0.413616580	-6.533333E-01	3.805603E-01
