Year	Model	Data	Forcing
1875.000000000	-0.311389194	-6.700000E-01	-6.939801E-01
1875.083333000	-0.261695333	-5.800000E-01	-1.328463E+00
1875.166667000	-0.227234623	-6.933333E-01	-1.323435E+00
1875.250000000	-0.218190819	-9.233333E-01	-1.318406E+00
1875.333333000	-0.217425797	-1.043333E+00	-1.313377E+00
1875.416667000	-0.253820277	-1.106667E+00	-1.308348E+00
1875.500000000	-0.399469784	-1.116667E+00	-1.303320E+00
1875.583333000	-0.616362729	-1.166667E+00	-1.774827E+00
1875.666667000	-0.771231359	-1.083333E+00	-1.769798E+00
1875.750000000	-0.855283202	-9.266667E-01	-1.764768E+00
1875.833333000	-0.876636813	-8.066667E-01	-1.759739E+00
1875.916667000	-0.814435573	-8.333333E-01	-1.754710E+00
1876.000000000	-0.625202174	-9.300000E-01	-1.749681E+00
1876.083333000	-0.406178807	-9.066667E-01	-1.341570E+00
1876.166667000	-0.366500534	-8.600000E-01	-1.336541E+00
1876.250000000	-0.389789526	-7.800000E-01	-1.331513E+00
1876.333333000	-0.385325818	-7.233333E-01	-1.326484E+00
1876.416667000	-0.321072739	-6.533333E-01	-1.321455E+00
1876.500000000	-0.213843220	-5.733333E-01	-1.316426E+00
1876.583333000	-0.208608313	-5.066667E-01	-9.351501E-01
1876.666667000	-0.253936646	-3.766667E-01	-9.301218E-01
1876.750000000	-0.300881149	-2.933333E-01	-9.250935E-01
1876.833333000	-0.328077761	-2.000000E-01	-9.200652E-01
1876.916667000	-0.287082076	-1.433333E-01	-9.150369E-01
1877.000000000	-0.184183127	8.666667E-02	-9.100086E-01
1877.083333000	-0.266169859	2.066667E-01	3.641410E-02
1877.166667000	-0.320519430	2.866667E-01	3.138624E-02
1877.250000000	-0.342734668	2.033333E-01	2.635838E-02
1877.333333000	-0.364538478	2.766667E-01	2.133053E-02
1877.416667000	-0.360325734	4.066667E-01	1.630268E-02
1877.500000000	-0.244036657	5.166667E-01	1.127484E-02
1877.583333000	-0.014823254	5.600000E-01	2.139018E-01
1877.666667000	0.028807191	6.500000E-01	2.088737E-01
1877.750000000	-0.030295577	7.700000E-01	2.038457E-01
1877.833333000	-0.099651323	9.566667E-01	1.988176E-01
1877.916667000	-0.148798280	1.040000E+00	1.937896E-01
1878.000000000	-0.123754779	1.130000E+00	1.887615E-01
1878.083333000	0.003847044	9.800000E-01	2.309199E-01
1878.166667000	0.038177886	8.000000E-01	2.258918E-01
1878.250000000	-0.004513717	5.300000E-01	2.208637E-01
1878.333333000	-0.083116751	5.100000E-01	2.158357E-01
1878.416667000	-0.225078839	3.300000E-01	2.108076E-01
1878.500000000	-0.444396632	1.066667E-01	2.057796E-01
1878.583333000	-0.502184158	-2.766667E-01	-7.140683E-01
1878.666667000	-0.434917396	-4.700000E-01	-7.090403E-01
1878.750000000	-0.339241544	-5.300000E-01	-7.040122E-01
1878.833333000	-0.259348140	-5.133333E-01	-6.989842E-01
1878.916667000	-0.242840532	-4.000000E-01	-6.939561E-01
1879.000000000	-0.299709943	-2.700000E-01	-6.889281E-01
1879.083333000	-0.272602230	-1.500000E-01	-1.227434E+00
1879.166667000	-0.242687737	-1.666667E-01	-1.222406E+00
1879.250000000	-0.216925358	-3.666667E-01	-1.217377E+00
1879.333333000	-0.176442804	-6.700000E-01	-1.212349E+00
1879.416667000	-0.152587975	-9.066667E-01	-1.207320E+00
1879.500000000	-0.254646409	-9.633333E-01	-1.202291E+00
1879.583333000	-0.474474504	-9.100000E-01	-1.671029E+00
1879.666667000	-0.550882510	-9.000000E-01	-1.666000E+00
1879.750000000	-0.543420686	-9.966667E-01	-1.660971E+00
1879.833333000	-0.518714773	-9.966667E-01	-1.655942E+00
1879.916667000	-0.469924618	-8.533333E-01	-1.650913E+00
1880.000000000	-0.358893347	-5.833333E-01	-1.645884E+00
1880.083333000	-0.227628582	-4.400000E-01	-1.320399E+00
1880.166667000	-0.152438245	-3.933333E-01	-1.315370E+00
1880.250000000	-0.094157571	-4.800000E-01	-1.310341E+00
1880.333333000	-0.031551599	-5.800000E-01	-1.305313E+00
1880.416667000	0.032574966	-6.566667E-01	-1.300284E+00
1880.500000000	0.074345383	-6.633333E-01	-1.295255E+00
1880.583333000	0.037784467	-6.133333E-01	-1.091040E+00
1880.666667000	0.029176351	-4.933333E-01	-1.086011E+00
1880.750000000	0.046098714	-2.966667E-01	-1.080983E+00
1880.833333000	0.075774252	-9.000000E-02	-1.075954E+00
1880.916667000	0.139484616	3.000000E-02	-1.070926E+00
1881.000000000	0.209461936	8.666667E-02	-1.065897E+00
1881.083333000	0.104149746	1.466667E-01	-4.587379E-01
1881.166667000	0.021592932	2.600000E-01	-4.537101E-01
1881.250000000	-0.033799376	2.966667E-01	-4.486824E-01
1881.333333000	-0.087905587	2.433333E-01	-4.436546E-01
1881.416667000	-0.130633119	0.000000E+00	-4.386268E-01
1881.500000000	-0.135574023	-1.433333E-01	-4.335990E-01
1881.583333000	-0.085432232	-2.866667E-01	-4.122370E-01
1881.666667000	-0.043685170	-3.033333E-01	-4.072092E-01
1881.750000000	-0.019419664	-3.966667E-01	-4.021815E-01
1881.833333000	-0.011353270	-3.833333E-01	-3.971538E-01
1881.916667000	-0.022883008	-3.733333E-01	-3.921260E-01
1882.000000000	-0.055634523	-3.566667E-01	-3.870983E-01
1882.083333000	-0.089773179	-3.733333E-01	-3.696100E-01
1882.166667000	-0.062238195	-2.333333E-01	-3.645823E-01
1882.250000000	-0.020709144	-7.666667E-02	-3.595547E-01
1882.333333000	-0.005082013	-1.000000E-02	-3.545270E-01
1882.416667000	-0.056121546	-1.466667E-01	-3.494993E-01
1882.500000000	-0.201384713	-2.100000E-01	-3.444716E-01
1882.583333000	-0.297869963	-3.566667E-01	-9.321771E-01
1882.666667000	-0.328836329	-4.300000E-01	-9.271488E-01
1882.750000000	-0.338177489	-6.566667E-01	-9.221205E-01
1882.833333000	-0.337018175	-6.933333E-01	-9.170923E-01
1882.916667000	-0.330114936	-5.933333E-01	-9.120640E-01
1883.000000000	-0.291020528	-3.700000E-01	-9.070357E-01
1883.083333000	-0.148992299	-2.100000E-01	-1.132183E+00
1883.166667000	-0.088239296	-2.000000E-01	-1.127154E+00
1883.250000000	-0.074867814	-2.800000E-01	-1.122126E+00
1883.333333000	-0.067368179	-3.300000E-01	-1.117097E+00
1883.416667000	-0.061203297	-3.400000E-01	-1.112069E+00
1883.500000000	-0.004194811	-3.366667E-01	-1.107040E+00
1883.583333000	0.170308066	-3.333333E-01	-1.181868E+00
1883.666667000	0.227445615	-3.066667E-01	-1.176839E+00
1883.750000000	0.214404535	-2.166667E-01	-1.171810E+00
1883.833333000	0.197359896	-1.400000E-01	-1.166782E+00
1883.916667000	0.203877525	-9.666667E-02	-1.161753E+00
1884.000000000	0.239938872	-6.666667E-03	-1.156725E+00
1884.083333000	0.211927938	8.666667E-02	-7.868861E-01
1884.166667000	0.136560999	1.766667E-01	-7.818580E-01
1884.250000000	0.024194547	3.000000E-01	-7.768298E-01
1884.333333000	-0.112240546	1.833333E-01	-7.718017E-01
1884.416667000	-0.234119297	1.300000E-01	-7.667736E-01
1884.500000000	-0.235134209	-4.666667E-02	-7.617454E-01
1884.583333000	-0.062827610	6.666667E-03	-5.774315E-01
1884.666667000	-0.006599227	-4.666667E-02	-5.724035E-01
1884.750000000	-0.018330827	-1.066667E-01	-5.673756E-01
1884.833333000	-0.024198884	-1.066667E-01	-5.623477E-01
1884.916667000	-0.011250526	-1.466667E-01	-5.573198E-01
1885.000000000	0.007191528	-6.333333E-02	-5.522919E-01
1885.083333000	0.000433504	0.000000E+00	-5.030186E-01
1885.166667000	-0.005669064	6.333333E-02	-4.979908E-01
1885.250000000	-0.003500561	1.900000E-01	-4.929630E-01
1885.333333000	-0.001098310	1.666667E-01	-4.879352E-01
1885.416667000	-0.022000190	1.533333E-01	-4.829073E-01
1885.500000000	-0.068785237	5.000000E-02	-4.778795E-01
1885.583333000	-0.053354068	9.666667E-02	-7.880022E-01
1885.666667000	-0.050359157	2.733333E-01	-7.829740E-01
1885.750000000	-0.066854478	3.600000E-01	-7.779459E-01
1885.833333000	-0.098543450	4.400000E-01	-7.729177E-01
1885.916667000	-0.165557388	3.566667E-01	-7.678896E-01
1886.000000000	-0.264626548	2.833333E-01	-7.628615E-01
1886.083333000	-0.302630819	2.466667E-01	-1.022855E+00
1886.166667000	-0.334823163	1.900000E-01	-1.017827E+00
1886.250000000	-0.361533797	-3.666667E-02	-1.012798E+00
1886.333333000	-0.370200035	-3.900000E-01	-1.007770E+00
1886.416667000	-0.379507423	-7.133333E-01	-1.002741E+00
1886.500000000	-0.405012257	-8.766667E-01	-9.977130E-01
1886.583333000	-0.367175201	-1.000000E+00	-1.335736E+00
1886.666667000	-0.303273446	-1.006667E+00	-1.330707E+00
1886.750000000	-0.224548079	-1.030000E+00	-1.325679E+00
1886.833333000	-0.137295662	-1.083333E+00	-1.320650E+00
1886.916667000	-0.062596516	-1.003333E+00	-1.315621E+00
1887.000000000	-0.072751567	-7.766667E-01	-1.310593E+00
1887.083333000	-0.235983427	-5.966667E-01	-1.238924E+00
1887.166667000	-0.296103175	-6.666667E-01	-1.233895E+00
1887.250000000	-0.275639779	-8.666667E-01	-1.228866E+00
1887.333333000	-0.218225882	-8.333333E-01	-1.223838E+00
1887.416667000	-0.118485339	-7.066667E-01	-1.218809E+00
1887.500000000	-0.026798202	-5.666667E-01	-1.213780E+00
1887.583333000	-0.098240423	-5.466667E-01	-8.388786E-01
1887.666667000	-0.127677465	-4.800000E-01	-8.338504E-01
1887.750000000	-0.119905397	-3.366667E-01	-8.288222E-01
1887.833333000	-0.108595500	-2.166667E-01	-8.237941E-01
1887.916667000	-0.078291300	-1.833333E-01	-8.187659E-01
1888.000000000	-0.073912507	-2.333333E-02	-8.137377E-01
1888.083333000	-0.257732608	1.466667E-01	-3.040085E-01
1888.166667000	-0.314226082	3.166667E-01	-2.989809E-01
1888.250000000	-0.279362212	2.433333E-01	-2.939532E-01
